2025-09-28 17:45:50.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 12], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:45:52.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 12], Offset: 400, Limit: 100, Categories: [5070]
2025-09-28 17:45:54.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E12], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:45:59.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [13] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:46:01.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [13] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:46:03.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [13] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:46:05.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [13] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:46:07.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E13], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:46:09.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 13], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:46:11.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 13], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:46:13.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 13], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:46:15.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 13], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:46:17.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 13], Offset: 400, Limit: 100, Categories: [5070]
2025-09-28 17:46:19.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E13], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:46:24.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [14] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:46:26.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [14] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:46:28.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [14] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:46:30.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [14] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 300, Limit: 100, Categories: [5070]
