2025-11-06 09:58:43.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia S6] for Season / Episode:[S06E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:45.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia S5 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:47.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 6th Season 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:49.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia S5] for Season / Episode:[S05E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:51.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 5th Season 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:53.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 6th Season] for Season / Episode:[S06E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:55.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 5th Season] for Season / Episode:[S05E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:57.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:58:59.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:59:01.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 11], Offset: 100, Limit: 100, Categories: [5070]
2025-11-06 09:59:03.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 11], Offset: 100, Limit: 100, Categories: [5070]
2025-11-06 09:59:05.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia] for Season / Episode:[S06E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:59:07.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia] for Season / Episode:[S05E11], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:59:14.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 09:59:16.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-11-06 09:59:18.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [12] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
