2025-11-08 05:15:58.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): IMDbId:[32820897], Offset: 0, Limit: 100, Categories: [2000, 2010, 2040, 2020, 2030, 2045]
2025-11-08 05:15:58.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): IMDbId:[32820897], Offset: 0, Limit: 100, Categories: [2000, 2010, 2020, 2030, 2040, 2045, 2050, 2060]
2025-11-08 05:15:59.4|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [], Offset: 0, Limit: 100, Categories: [3000, 3030, 3040, 3010]
2025-11-08 05:15:59.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [], Offset: 0, Limit: 100, Categories: [3000, 3010, 3030, 3040]
2025-11-08 05:16:00.5|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[S02E02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:00.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [02] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-11-08 05:16:00.8|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Demon Slayer Kimetsu no Yaiba Infinity Castle 2025], Offset: 0, Limit: 100, Categories: [2000, 2010, 2040, 2020, 2030, 2045]
2025-11-08 05:16:04.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2nd Season 02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:05.1|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [02] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-11-08 05:16:06.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [劇場版 鬼滅の刃 無限城編 第一章 猗窩座再来 2025], Offset: 0, Limit: 100, Categories: [2000, 2010, 2040, 2020, 2030, 2045]
2025-11-08 05:16:07.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [02] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 300, Limit: 100, Categories: [5070]
2025-11-08 05:16:08.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2nd Season] for Season / Episode:[S02E02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:09.3|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [02] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 400, Limit: 100, Categories: [5070]
2025-11-08 05:16:11.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [02] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 500, Limit: 100, Categories: [5070]
2025-11-08 05:16:12.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen S2 02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:13.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [02] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 600, Limit: 100, Categories: [5070]
2025-11-08 05:16:14.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen S2] for Season / Episode:[S02E02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:15.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [02] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 700, Limit: 100, Categories: [5070]
2025-11-08 05:16:16.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2023 02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:17.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [02] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 800, Limit: 100, Categories: [5070]
